,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
10,frozenset({'WHITE SPOT BLUE CERAMIC DRAWER KNOB'}),frozenset({'WHITE SPOT RED CERAMIC DRAWER KNOB'}),0.03747072599531616,0.05620608899297424,0.03044496487119438,0.8125,14.455729166666666,0.028338881911270285,5.033567525370804
11,frozenset({'WHITE SPOT RED CERAMIC DRAWER KNOB'}),frozenset({'WHITE SPOT BLUE CERAMIC DRAWER KNOB'}),0.05620608899297424,0.03747072599531616,0.03044496487119438,0.5416666666666666,14.455729166666666,0.028338881911270285,2.100063870555674
12,frozenset({'JAM JAR WITH PINK LID'}),frozenset({'JAM JAR WITH GREEN LID'}),0.06791569086651054,0.03747072599531616,0.0351288056206089,0.5172413793103448,13.803879310344826,0.03258395537736728,1.993810639009702
13,frozenset({'JAM JAR WITH GREEN LID'}),frozenset({'JAM JAR WITH PINK LID'}),0.03747072599531616,0.06791569086651054,0.0351288056206089,0.9374999999999999,13.803879310344824,0.03258395537736728,14.913348946135805
14,frozenset({'COFFEE MUG APPLES DESIGN'}),frozenset({'COFFEE MUG PEARS  DESIGN'}),0.06557377049180328,0.04215456674473068,0.03747072599531616,0.5714285714285714,13.555555555555555,0.034706492110415786,2.234972677595628
15,frozenset({'COFFEE MUG PEARS  DESIGN'}),frozenset({'COFFEE MUG APPLES DESIGN'}),0.04215456674473068,0.06557377049180328,0.03747072599531616,0.888888888888889,13.555555555555555,0.034706492110415786,8.409836065573776
16,frozenset({'WHITE SPOT RED CERAMIC DRAWER KNOB'}),frozenset({'RED STRIPE CERAMIC DRAWER KNOB'}),0.05620608899297424,0.04918032786885246,0.0351288056206089,0.625,12.708333333333334,0.032364571735708524,2.53551912568306
17,frozenset({'RED STRIPE CERAMIC DRAWER KNOB'}),frozenset({'WHITE SPOT RED CERAMIC DRAWER KNOB'}),0.04918032786885246,0.05620608899297424,0.0351288056206089,0.7142857142857142,12.708333333333332,0.032364571735708524,3.303278688524589
18,frozenset({'RED  HARMONICA IN BOX'}),frozenset({'BLUE HARMONICA IN BOX'}),0.04918032786885246,0.05152224824355972,0.03044496487119438,0.6190476190476191,12.015151515151516,0.027911083810035705,2.4897540983606556
19,frozenset({'BLUE HARMONICA IN BOX'}),frozenset({'RED  HARMONICA IN BOX'}),0.05152224824355972,0.04918032786885246,0.03044496487119438,0.5909090909090908,12.015151515151514,0.027911083810035705,2.3242258652094714
20,frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO BAG PINK POLKADOT'}),0.08196721311475409,0.03747072599531616,0.0351288056206089,0.42857142857142855,11.4375,0.032057434637386265,1.6844262295081966
21,frozenset({'JUMBO BAG PINK POLKADOT'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.03747072599531616,0.08196721311475409,0.0351288056206089,0.9374999999999999,11.4375,0.032057434637386265,14.688524590163908
22,frozenset({'RED RETROSPOT CUP'}),frozenset({'PINK  POLKADOT CUP'}),0.07494145199063232,0.04215456674473068,0.03278688524590164,0.4375,10.378472222222223,0.0296277608060155,1.7028363257871453
23,frozenset({'PINK  POLKADOT CUP'}),frozenset({'RED RETROSPOT CUP'}),0.04215456674473068,0.07494145199063232,0.03278688524590164,0.7777777777777779,10.378472222222223,0.0296277608060155,4.162763466042157
24,frozenset({'BLUE POLKADOT CUP'}),frozenset({'RED RETROSPOT CUP'}),0.05152224824355972,0.07494145199063232,0.03747072599531616,0.7272727272727273,9.704545454545455,0.033609573902121985,3.3918813427010153
25,frozenset({'RED RETROSPOT CUP'}),frozenset({'BLUE POLKADOT CUP'}),0.07494145199063232,0.05152224824355972,0.03747072599531616,0.5,9.704545454545455,0.033609573902121985,1.8969555035128804
26,frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG WOODLAND'}),0.04449648711943794,0.08430913348946135,0.0351288056206089,0.7894736842105262,9.364035087719298,0.03137734534824411,4.3495316159250565
27,frozenset({'LUNCH BAG WOODLAND'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.08430913348946135,0.04449648711943794,0.0351288056206089,0.41666666666666663,9.364035087719298,0.03137734534824411,1.6380060220809634
28,frozenset({'RED RETROSPOT CUP'}),frozenset({'RED RETROSPOT PLATE'}),0.07494145199063232,0.04918032786885246,0.03278688524590164,0.4375,8.895833333333334,0.029101240066034477,1.6903460837887065
29,frozenset({'RED RETROSPOT PLATE'}),frozenset({'RED RETROSPOT CUP'}),0.04918032786885246,0.07494145199063232,0.03278688524590164,0.6666666666666667,8.895833333333334,0.029101240066034477,2.7751756440281037
30,frozenset({'LUNCH BOX WITH CUTLERY RETROSPOT'}),frozenset({'SKULL LUNCH BOX WITH CUTLERY'}),0.06791569086651054,0.06088992974238876,0.0351288056206089,0.5172413793103448,8.4946949602122,0.030993423975341276,1.9452994312479088
31,frozenset({'SKULL LUNCH BOX WITH CUTLERY'}),frozenset({'LUNCH BOX WITH CUTLERY RETROSPOT'}),0.06088992974238876,0.06791569086651054,0.0351288056206089,0.5769230769230769,8.4946949602122,0.030993423975341276,2.203108367042793
32,frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS'}),frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),0.06088992974238876,0.06088992974238876,0.03044496487119438,0.5,8.211538461538462,0.02673738132716134,1.8782201405152226
33,frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS'}),0.06088992974238876,0.06088992974238876,0.03044496487119438,0.5,8.211538461538462,0.02673738132716134,1.8782201405152226
34,"frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND', 'RED RETROSPOT CHARLOTTE BAG'})",frozenset({'WOODLAND CHARLOTTE BAG'}),0.03278688524590164,0.1358313817330211,0.03278688524590164,1.0,7.362068965517241,0.02833339732022882,inf
35,frozenset({'WOODLAND CHARLOTTE BAG'}),"frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND', 'RED RETROSPOT CHARLOTTE BAG'})",0.1358313817330211,0.03278688524590164,0.03278688524590164,0.24137931034482757,7.36206896551724,0.02833339732022882,1.274962742175857
36,frozenset({'CHARLOTTE BAG APPLES DESIGN'}),frozenset({'JUMBO BAG APPLES'}),0.0702576112412178,0.06557377049180328,0.03278688524590164,0.46666666666666673,7.116666666666667,0.028179828771067686,1.7520491803278693
37,frozenset({'JUMBO BAG APPLES'}),frozenset({'CHARLOTTE BAG APPLES DESIGN'}),0.06557377049180328,0.0702576112412178,0.03278688524590164,0.5,7.116666666666667,0.028179828771067686,1.8594847775175645
38,frozenset({'WOODLAND PARTY BAG + STICKER SET'}),frozenset({'RETROSPOT PARTY BAG + STICKER SET'}),0.07259953161592506,0.06557377049180328,0.03278688524590164,0.4516129032258065,6.887096774193549,0.028026260221906556,1.7039537126325943
39,frozenset({'RETROSPOT PARTY BAG + STICKER SET'}),frozenset({'WOODLAND PARTY BAG + STICKER SET'}),0.06557377049180328,0.07259953161592506,0.03278688524590164,0.5,6.887096774193549,0.028026260221906556,1.85480093676815
40,frozenset({'STRAWBERRY LUNCH BOX WITH CUTLERY'}),frozenset({'SKULL LUNCH BOX WITH CUTLERY'}),0.08196721311475409,0.06088992974238876,0.03278688524590164,0.4000000000000001,6.569230769230771,0.027795907398164857,1.5651834504293525
41,frozenset({'SKULL LUNCH BOX WITH CUTLERY'}),frozenset({'STRAWBERRY LUNCH BOX WITH CUTLERY'}),0.06088992974238876,0.08196721311475409,0.03278688524590164,0.5384615384615385,6.569230769230771,0.027795907398164857,1.9890710382513666
42,frozenset({'RED RETROSPOT CHARLOTTE BAG'}),"frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND', 'WOODLAND CHARLOTTE BAG'})",0.07494145199063232,0.06791569086651054,0.03278688524590164,0.4375,6.441810344827585,0.027697184759418417,1.6570387717928703
43,"frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND', 'WOODLAND CHARLOTTE BAG'})",frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.06791569086651054,0.07494145199063232,0.03278688524590164,0.48275862068965514,6.441810344827585,0.027697184759418417,1.7884465261514442
44,frozenset({'LUNCH BOX WITH CUTLERY RETROSPOT'}),frozenset({'STRAWBERRY LUNCH BOX WITH CUTLERY'}),0.06791569086651054,0.08196721311475409,0.0351288056206089,0.5172413793103448,6.310344827586206,0.02956194571351787,1.9016393442622948
45,frozenset({'STRAWBERRY LUNCH BOX WITH CUTLERY'}),frozenset({'LUNCH BOX WITH CUTLERY RETROSPOT'}),0.08196721311475409,0.06791569086651054,0.0351288056206089,0.42857142857142855,6.310344827586206,0.02956194571351787,1.6311475409836067
46,frozenset({'WOODLAND CHARLOTTE BAG'}),frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.1358313817330211,0.07494145199063232,0.06323185011709602,0.46551724137931033,6.211745689655173,0.05305244914412957,1.7307547027272039
47,frozenset({'RED RETROSPOT CHARLOTTE BAG'}),frozenset({'WOODLAND CHARLOTTE BAG'}),0.07494145199063232,0.1358313817330211,0.06323185011709602,0.84375,6.211745689655172,0.05305244914412957,5.530679156908665
48,frozenset({'JUMBO BAG WOODLAND ANIMALS'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.1053864168618267,0.08196721311475409,0.05152224824355972,0.4888888888888889,5.964444444444445,0.042884017353246054,1.7961511047754812
49,frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO BAG WOODLAND ANIMALS'}),0.08196721311475409,0.1053864168618267,0.05152224824355972,0.6285714285714287,5.964444444444445,0.042884017353246054,2.4085750315258516
50,frozenset({'CHARLOTTE BAG SUKI DESIGN'}),frozenset({'WOODLAND CHARLOTTE BAG'}),0.04918032786885246,0.1358313817330211,0.03981264637002342,0.8095238095238096,5.959770114942529,0.03313241448151419,4.536885245901642
51,frozenset({'WOODLAND CHARLOTTE BAG'}),frozenset({'CHARLOTTE BAG SUKI DESIGN'}),0.1358313817330211,0.04918032786885246,0.03981264637002342,0.29310344827586204,5.959770114942528,0.03313241448151419,1.345061975209916
52,frozenset({'SCANDINAVIAN REDS RIBBONS'}),frozenset({'6 RIBBONS RUSTIC CHARM'}),0.04918032786885246,0.11007025761124122,0.03044496487119438,0.6190476190476191,5.624113475177305,0.025031673513264484,2.336065573770492
53,frozenset({'6 RIBBONS RUSTIC CHARM'}),frozenset({'SCANDINAVIAN REDS RIBBONS'}),0.11007025761124122,0.04918032786885246,0.03044496487119438,0.2765957446808511,5.624113475177305,0.025031673513264484,1.3143683702989393
54,frozenset({'PLASTERS IN TIN STRONGMAN'}),frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),0.07494145199063232,0.12412177985948478,0.05152224824355972,0.6875,5.538915094339623,0.04222038183722831,2.8028103044496486
55,frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),frozenset({'PLASTERS IN TIN STRONGMAN'}),0.12412177985948478,0.07494145199063232,0.05152224824355972,0.41509433962264153,5.538915094339623,0.04222038183722831,1.58155171111279
56,"frozenset({'PLASTERS IN TIN SPACEBOY', 'ROUND SNACK BOXES SET OF4 WOODLAND'})",frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),0.05152224824355972,0.14754098360655737,0.03747072599531616,0.7272727272727273,4.92929292929293,0.029869082811840135,3.12568306010929
57,"frozenset({'PLASTERS IN TIN SPACEBOY', 'PLASTERS IN TIN CIRCUS PARADE'})",frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),0.05152224824355972,0.14754098360655737,0.03747072599531616,0.7272727272727273,4.92929292929293,0.029869082811840135,3.12568306010929
58,frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),"frozenset({'PLASTERS IN TIN SPACEBOY', 'ROUND SNACK BOXES SET OF4 WOODLAND'})",0.14754098360655737,0.05152224824355972,0.03747072599531616,0.25396825396825395,4.929292929292929,0.029869082811840135,1.2713637949075687
59,frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),"frozenset({'PLASTERS IN TIN SPACEBOY', 'PLASTERS IN TIN CIRCUS PARADE'})",0.14754098360655737,0.05152224824355972,0.03747072599531616,0.25396825396825395,4.929292929292929,0.029869082811840135,1.2713637949075687
60,"frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND', 'LUNCH BOX WITH CUTLERY RETROSPOT'})",frozenset({'ROUND SNACK BOXES SET OF 4 FRUITS'}),0.03747072599531616,0.1686182669789227,0.03044496487119438,0.8125,4.818576388888889,0.024126715991422097,4.434035909445746
61,frozenset({'ROUND SNACK BOXES SET OF 4 FRUITS'}),"frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND', 'LUNCH BOX WITH CUTLERY RETROSPOT'})",0.1686182669789227,0.03747072599531616,0.03044496487119438,0.18055555555555555,4.818576388888888,0.024126715991422097,1.1746119953955463
62,frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),"frozenset({'PLASTERS IN TIN WOODLAND ANIMALS', 'ROUND SNACK BOXES SET OF 4 FRUITS'})",0.12412177985948478,0.05152224824355972,0.03044496487119438,0.24528301886792453,4.760720411663808,0.024049931716841534,1.2567330210772831
63,"frozenset({'PLASTERS IN TIN WOODLAND ANIMALS', 'ROUND SNACK BOXES SET OF 4 FRUITS'})",frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),0.05152224824355972,0.12412177985948478,0.03044496487119438,0.5909090909090908,4.760720411663807,0.024049931716841534,2.14103564923237
64,"frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND', 'PLASTERS IN TIN CIRCUS PARADE'})",frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),0.06088992974238876,0.14754098360655737,0.04215456674473068,0.6923076923076923,4.6923076923076925,0.03317080661880447,2.7704918032786887
65,frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),"frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND', 'PLASTERS IN TIN CIRCUS PARADE'})",0.14754098360655737,0.06088992974238876,0.04215456674473068,0.2857142857142857,4.6923076923076925,0.03317080661880447,1.3147540983606558
66,frozenset({'ROUND SNACK BOXES SET OF 4 FRUITS'}),"frozenset({'CHARLOTTE BAG APPLES DESIGN', 'ROUND SNACK BOXES SET OF4 WOODLAND'})",0.1686182669789227,0.04215456674473068,0.03278688524590164,0.19444444444444448,4.612654320987655,0.025678855256157828,1.1890495033513686
67,"frozenset({'CHARLOTTE BAG APPLES DESIGN', 'ROUND SNACK BOXES SET OF4 WOODLAND'})",frozenset({'ROUND SNACK BOXES SET OF 4 FRUITS'}),0.04215456674473068,0.1686182669789227,0.03278688524590164,0.7777777777777779,4.612654320987655,0.025678855256157828,3.74121779859485
68,frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),"frozenset({'PLASTERS IN TIN SPACEBOY', 'PLASTERS IN TIN WOODLAND ANIMALS'})",0.12412177985948478,0.06557377049180328,0.03747072599531616,0.3018867924528302,4.60377358490566,0.029331592889776173,1.3385024368630924
69,"frozenset({'PLASTERS IN TIN SPACEBOY', 'PLASTERS IN TIN WOODLAND ANIMALS'})",frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),0.06557377049180328,0.12412177985948478,0.03747072599531616,0.5714285714285714,4.60377358490566,0.029331592889776173,2.043715846994535
70,frozenset({'JAM JAR WITH PINK LID'}),frozenset({'JAM MAKING SET PRINTED'}),0.06791569086651054,0.09836065573770492,0.03044496487119438,0.44827586206896547,4.557471264367816,0.023764732982685145,1.6342213114754098
71,frozenset({'JAM MAKING SET PRINTED'}),frozenset({'JAM JAR WITH PINK LID'}),0.09836065573770492,0.06791569086651054,0.03044496487119438,0.30952380952380953,4.557471264367816,0.023764732982685145,1.3499152063312607
72,"frozenset({'PLASTERS IN TIN WOODLAND ANIMALS', 'PLASTERS IN TIN CIRCUS PARADE'})",frozenset({'PLASTERS IN TIN SPACEBOY'}),0.07259953161592506,0.11475409836065574,0.03747072599531616,0.5161290322580645,4.497695852534562,0.02913963220332476,1.8295081967213114
73,frozenset({'PLASTERS IN TIN SPACEBOY'}),"frozenset({'PLASTERS IN TIN WOODLAND ANIMALS', 'PLASTERS IN TIN CIRCUS PARADE'})",0.11475409836065574,0.07259953161592506,0.03747072599531616,0.32653061224489793,4.497695852534562,0.02913963220332476,1.3770491803278688
74,"frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND', 'PLASTERS IN TIN CIRCUS PARADE'})",frozenset({'ROUND SNACK BOXES SET OF 4 FRUITS'}),0.06088992974238876,0.1686182669789227,0.04449648711943794,0.7307692307692308,4.333867521367522,0.03422933268980799,3.087989294078288
75,frozenset({'ROUND SNACK BOXES SET OF 4 FRUITS'}),"frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND', 'PLASTERS IN TIN CIRCUS PARADE'})",0.1686182669789227,0.06088992974238876,0.04449648711943794,0.2638888888888889,4.333867521367521,0.03422933268980799,1.2757721709160001
76,frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),"frozenset({'PLASTERS IN TIN WOODLAND ANIMALS', 'ROUND SNACK BOXES SET OF4 WOODLAND'})",0.12412177985948478,0.07962529274004684,0.04215456674473068,0.33962264150943394,4.2652608213096554,0.03227133368800355,1.3937102709936433
77,"frozenset({'PLASTERS IN TIN WOODLAND ANIMALS', 'ROUND SNACK BOXES SET OF4 WOODLAND'})",frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),0.07962529274004684,0.12412177985948478,0.04215456674473068,0.5294117647058822,4.2652608213096554,0.03227133368800355,1.8612412177985944
78,frozenset({'PLASTERS IN TIN SPACEBOY'}),"frozenset({'PLASTERS IN TIN WOODLAND ANIMALS', 'ROUND SNACK BOXES SET OF4 WOODLAND'})",0.11475409836065574,0.07962529274004684,0.03747072599531616,0.32653061224489793,4.100840336134453,0.02833339732022882,1.366616989567809
79,"frozenset({'PLASTERS IN TIN WOODLAND ANIMALS', 'ROUND SNACK BOXES SET OF4 WOODLAND'})",frozenset({'PLASTERS IN TIN SPACEBOY'}),0.07962529274004684,0.11475409836065574,0.03747072599531616,0.47058823529411764,4.100840336134453,0.02833339732022882,1.6721311475409835
80,frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),0.14754098360655737,0.12412177985948478,0.07259953161592506,0.49206349206349204,3.9643605870020964,0.05428648212846009,1.7243852459016393
81,frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),0.12412177985948478,0.14754098360655737,0.07259953161592506,0.5849056603773585,3.9643605870020964,0.05428648212846009,2.0536512667660207
82,frozenset({'PLASTERS IN TIN SPACEBOY'}),frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),0.11475409836065574,0.14754098360655737,0.06557377049180328,0.5714285714285714,3.873015873015873,0.0486428379467885,1.989071038251366
83,frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),frozenset({'PLASTERS IN TIN SPACEBOY'}),0.14754098360655737,0.11475409836065574,0.06557377049180328,0.4444444444444445,3.873015873015873,0.0486428379467885,1.5934426229508196
84,frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),"frozenset({'ROUND SNACK BOXES SET OF 4 FRUITS', 'PLASTERS IN TIN CIRCUS PARADE'})",0.14754098360655737,0.053864168618266976,0.03044496487119438,0.20634920634920634,3.8309178743961354,0.022497792452105807,1.1921311475409835
85,"frozenset({'ROUND SNACK BOXES SET OF 4 FRUITS', 'PLASTERS IN TIN CIRCUS PARADE'})",frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),0.053864168618266976,0.14754098360655737,0.03044496487119438,0.5652173913043478,3.830917874396135,0.022497792452105807,1.960655737704918
86,frozenset({'PLASTERS IN TIN SPACEBOY'}),frozenset({'PLASTERS IN TIN STRONGMAN'}),0.11475409836065574,0.07494145199063232,0.03278688524590164,0.2857142857142857,3.8125,0.02418704649287826,1.2950819672131149
87,frozenset({'PLASTERS IN TIN STRONGMAN'}),frozenset({'PLASTERS IN TIN SPACEBOY'}),0.07494145199063232,0.11475409836065574,0.03278688524590164,0.4375,3.8125,0.02418704649287826,1.5737704918032787
88,frozenset({'ROUND SNACK BOXES SET OF 4 FRUITS'}),"frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND', 'WOODLAND CHARLOTTE BAG'})",0.1686182669789227,0.06791569086651054,0.04215456674473068,0.25,3.6810344827586206,0.030702740650143417,1.2427790788446527
89,frozenset({'CHARLOTTE BAG APPLES DESIGN'}),frozenset({'WOODLAND CHARLOTTE BAG'}),0.0702576112412178,0.1358313817330211,0.0351288056206089,0.5,3.6810344827586206,0.02558561720845285,1.7283372365339578
90,frozenset({'WOODLAND CHARLOTTE BAG'}),frozenset({'CHARLOTTE BAG APPLES DESIGN'}),0.1358313817330211,0.0702576112412178,0.0351288056206089,0.2586206896551724,3.6810344827586206,0.02558561720845285,1.2540711290234736
91,"frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND', 'WOODLAND CHARLOTTE BAG'})",frozenset({'ROUND SNACK BOXES SET OF 4 FRUITS'}),0.06791569086651054,0.1686182669789227,0.04215456674473068,0.6206896551724137,3.68103448275862,0.030702740650143417,2.1918245688737485
92,frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),frozenset({'PLASTERS IN TIN SPACEBOY'}),0.12412177985948478,0.11475409836065574,0.05152224824355972,0.41509433962264153,3.6172506738544477,0.037278765308864745,1.5134849286092016
93,frozenset({'PLASTERS IN TIN SPACEBOY'}),frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),0.11475409836065574,0.12412177985948478,0.05152224824355972,0.4489795918367347,3.6172506738544477,0.037278765308864745,1.589556769884639
94,"frozenset({'ROUND SNACK BOXES SET OF 4 FRUITS', 'SPACEBOY LUNCH BOX'})",frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND'}),0.04215456674473068,0.26229508196721313,0.03981264637002342,0.9444444444444445,3.6006944444444446,0.028755710830421933,13.278688524590184
95,frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND'}),"frozenset({'ROUND SNACK BOXES SET OF 4 FRUITS', 'SPACEBOY LUNCH BOX'})",0.26229508196721313,0.04215456674473068,0.03981264637002342,0.15178571428571427,3.600694444444444,0.028755710830421933,1.1292493528904228
96,frozenset({'WOODLAND CHARLOTTE BAG'}),frozenset({'JUMBO BAG WOODLAND ANIMALS'}),0.1358313817330211,0.1053864168618267,0.05152224824355972,0.3793103448275862,3.5992337164750956,0.03720746562532565,1.4413218839448347
97,frozenset({'JUMBO BAG WOODLAND ANIMALS'}),frozenset({'WOODLAND CHARLOTTE BAG'}),0.1053864168618267,0.1358313817330211,0.05152224824355972,0.4888888888888889,3.599233716475095,0.03720746562532565,1.6907646879136544
98,"frozenset({'CHARLOTTE BAG APPLES DESIGN', 'ROUND SNACK BOXES SET OF 4 FRUITS'})",frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND'}),0.0351288056206089,0.26229508196721313,0.03278688524590164,0.9333333333333335,3.5583333333333336,0.02357277229623373,11.065573770491824
99,frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND'}),"frozenset({'CHARLOTTE BAG APPLES DESIGN', 'ROUND SNACK BOXES SET OF 4 FRUITS'})",0.26229508196721313,0.0351288056206089,0.03278688524590164,0.125,3.5583333333333336,0.02357277229623373,1.1027099364335897
100,frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),frozenset({'PLASTERS IN TIN STRONGMAN'}),0.14754098360655737,0.07494145199063232,0.03747072599531616,0.25396825396825395,3.388888888888889,0.02641379045571467,1.2399720962678757
101,frozenset({'PLASTERS IN TIN STRONGMAN'}),frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),0.07494145199063232,0.14754098360655737,0.03747072599531616,0.5,3.388888888888889,0.02641379045571467,1.7049180327868854
102,"frozenset({'ROUND SNACK BOXES SET OF 4 FRUITS', 'ROUND SNACK BOXES SET OF4 WOODLAND'})",frozenset({'CHARLOTTE BAG APPLES DESIGN'}),0.1405152224824356,0.0702576112412178,0.03278688524590164,0.23333333333333336,3.321111111111112,0.022914621371257455,1.2127074635984116
103,frozenset({'CHARLOTTE BAG APPLES DESIGN'}),"frozenset({'ROUND SNACK BOXES SET OF 4 FRUITS', 'ROUND SNACK BOXES SET OF4 WOODLAND'})",0.0702576112412178,0.1405152224824356,0.03278688524590164,0.46666666666666673,3.321111111111112,0.022914621371257455,1.6115339578454337
104,"frozenset({'PLASTERS IN TIN WOODLAND ANIMALS', 'ROUND SNACK BOXES SET OF4 WOODLAND'})",frozenset({'ROUND SNACK BOXES SET OF 4 FRUITS'}),0.07962529274004684,0.1686182669789227,0.04449648711943794,0.5588235294117647,3.314133986928105,0.031070208249921846,1.884465261514442
105,frozenset({'ROUND SNACK BOXES SET OF 4 FRUITS'}),"frozenset({'PLASTERS IN TIN WOODLAND ANIMALS', 'ROUND SNACK BOXES SET OF4 WOODLAND'})",0.1686182669789227,0.07962529274004684,0.04449648711943794,0.2638888888888889,3.3141339869281046,0.031070208249921846,1.250320357032389
